event,change_id,change,project,note,committed_at
deploy,20162ccf2498b8a23b4c4e4e76f2fa977ed3ee0f,baseline_schema,noxund_p3a_spike,baseline: create spike schema (normal change; inits registry),2026-07-31 11:24:44.495899+00
fail,4b06e64300c81a15f47eacdfc5a750f726a5453f,atomicity_gap_probe,noxund_p3a_spike,"fatal: DDL committed, registry gap probe",2026-07-31 11:29:17.401291+00
